N,threads,time_elapsed,speedup,efficiency,computational_cost
500,1,0.003348501670006954,1.0,1.0,1.3394006680027815e-08
500,2,0.0016840056000000914,1.988414806938155,0.9942074034690775,6.736022400000366e-09
500,4,0.0008884399700036738,3.768967834701434,0.9422419586753585,3.5537598800146955e-09
500,8,0.0005650049700125237,5.92649949598272,0.74081243699784,2.2600198800500946e-09
500,16,0.0004399289000139106,7.611461010861241,0.47571631317882757,1.7597156000556424e-09
500,32,0.0003143608000027598,10.651778688620073,0.3328680840193773,1.2574432000110393e-09
1000,1,0.013161212189988874,1.0,1.0,1.3161212189988874e-08
1000,2,0.006731972540001152,1.9550305815695768,0.9775152907847884,6.731972540001152e-09
1000,4,0.0033899245899738162,3.882449842369659,0.9706124605924148,3.3899245899738162e-09
1000,8,0.0020224464099737817,6.507570299555918,0.8134462874444898,2.022446409973782e-09
1000,16,0.001692581360002805,7.775822480974895,0.48598890506093095,1.692581360002805e-09
1000,32,0.0010952441600238672,12.01669241468685,0.37552163795896404,1.0952441600238672e-09
2000,1,0.0528216074899683,1.0,1.0,1.3205401872492076e-08
2000,2,0.02695455517998198,1.959654208250363,0.9798271041251815,6.738638794995495e-09
2000,4,0.013812456800005748,3.824200738129825,0.9560501845324563,3.453114200001437e-09
2000,8,0.007723982099996647,6.838649650675813,0.8548312063344766,1.930995524999162e-09
2000,16,0.006584446950000711,8.022178307619685,0.5013861442262303,1.6461117375001778e-09
2000,32,0.003804255020004348,13.884875543887153,0.43390236074647354,9.51063755001087e-10
4000,1,0.21421854454001732,1.0,1.0,1.3388659033751082e-08
4000,2,0.10811492159999034,1.9813966598671284,0.9906983299335642,6.757182599999396e-09
4000,4,0.054146646439985485,3.9562661517265103,0.9890665379316276,3.3841654024990926e-09
4000,8,0.02920936962000269,7.333898243162346,0.9167372803952932,1.8255856012501683e-09
4000,16,0.025842029049999837,8.289540427554726,0.5180962767221704,1.6151268156249897e-09
4000,32,0.014713087170021026,14.559727816776823,0.4549914942742757,9.195679481263141e-10
5000,1,0.33227295082000635,1.0,1.0,1.3290918032800254e-08
5000,2,0.16623291986001276,1.998839646802922,0.999419823401461,6.649316794400511e-09
5000,4,0.08423075908998726,3.944793498358779,0.9861983745896947,3.3692303635994904e-09
5000,8,0.045354245900016396,7.326170774672415,0.9157713468340519,1.8141698360006558e-09
5000,16,0.03866116938999767,8.59448785597187,0.5371554909982419,1.5464467755999067e-09
5000,32,0.02241731226000411,14.822158292938255,0.46319244665432047,8.966924904001644e-10
