step,body,x,y,z
0,0,7.067498835050112e-13,0.0,0.0
0,1,57.89999990068569,0.00239,0.0
0,2,108.19999997156202,0.00168,0.0
0,3,149.59999998513587,0.00141,0.0
0,4,150.5999999843205,0.00191,0.0
0,5,227.89999999359605,0.0011,0.0
0,6,228.4999999933269,0.0014,0.0
0,7,778.499999999452,0.00061,0.0
0,8,779.4999996816518,0.00091,0.0
0,9,777.0000001406936,0.00031,0.0
0,10,1433.3999999998389,0.00045000000000000004,0.0
0,11,1434.1999998510873,0.00075,0.0
0,12,2872.4999999999595,0.00032,0.0
0,13,4495.099999999984,0.00027,0.0
0,14,5906.39999999999,0.00024,0.0
250,0,2.235166452277245e-08,6.919950861444966e-12,0.0
250,1,57.89685911290189,0.599879195672148,0.0
250,2,108.19910062121603,0.4216788362254624,0.0
250,3,149.5995299054397,0.3539096465604424,0.0
250,4,150.59950424357945,0.4794082007907095,0.0
250,5,227.89979746794887,0.2760999257246234,0.0
250,6,228.49978899302553,0.3513995081088003,0.0
250,7,778.4999826700057,0.15311000014933007,0.0
250,8,779.489912359347,0.22815733362000462,0.0
250,9,777.0044512071937,0.07788454331634428,0.0
250,10,1433.3999949013362,0.11295000141177501,0.0
250,11,1434.1952916512207,0.1881028803542341,0.0
250,12,2872.499998720312,0.08031999998819021,0.0
250,13,4495.099999477652,0.06776999999739917,0.0
250,14,5906.399999697305,0.06023999999898146,0.0
500,0,8.88743877639845e-08,5.5029859521704065e-11,0.0
500,1,57.88751156132272,1.19730408114382,0.0
500,2,108.19642390962046,0.8416707452269167,0.0
500,3,149.59813079902585,0.7064071867166745,0.0
500,4,150.59803020298975,0.9568959031946586,0.0
500,5,227.89919468627738,0.5510994081593154,0.0
500,6,228.49916141832895,0.7013961511303446,0.0
500,7,778.4999310943048,0.3056100014325729,0.0
500,8,779.4596552526128,0.45386689168773137,0.0
500,9,777.0177180286393,0.15590501274258933,0.0
500,10,1433.3999797265876,0.22545001125305272,0.0
500,11,1434.1812932855578,0.3745775657173143,0.0
500,12,2872.4999949117155,0.16031999990608425,0.0
500,13,4495.099997923044,0.13526999997931752,0.0
500,14,5906.399998796433,0.12023999999190013,0.0
750,0,1.995686133802961e-07,1.8535444221282675e-10,0.0
750,1,57.871958224099444,1.7946006088410278,0.0
750,2,108.19196986966742,1.2616488274066784,0.0
750,3,149.59580262346222,1.0589005105047296,0.0
750,4,150.5955818157928,1.4343636224915213,0.0
750,5,227.89819162724413,0.8260980003756161,0.0
750,6,228.4981184402432,1.0513873645181346,0.0
